time, S, I, R
32.3,79.8189,33.4547,86.7263
32.35,79.6856,33.4209,86.8935
32.4,79.5526,33.3868,87.0605
32.45,79.42,33.3526,87.2274
32.5,79.2877,33.3182,87.3941
32.55,79.1558,33.2836,87.5606
32.6,79.0243,33.2488,87.7269
32.65,78.8931,33.2139,87.8931
32.7,78.7622,33.1787,88.059
32.75,78.6318,33.1434,88.2248
32.8,78.5016,33.1079,88.3905
32.85,78.3719,33.0722,88.5559
32.9,78.2424,33.0364,88.7212
32.95,78.1134,33.0003,88.8863
33,77.9847,32.9641,89.0512
33.05,77.8563,32.9278,89.2159
33.1,77.7283,32.8912,89.3805
33.15,77.6006,32.8545,89.5448
33.2,77.4733,32.8176,89.709
33.25,77.3464,32.7806,89.873
33.3,77.2198,32.7434,90.0368
33.35,77.0935,32.706,90.2004
33.4,76.9677,32.6685,90.3639
33.45,76.8421,32.6308,90.5271
33.5,76.7169,32.5929,90.6902
33.55,76.5921,32.5549,90.8531
33.6,76.4676,32.5167,91.0157
33.65,76.3434,32.4784,91.1782
33.7,76.2196,32.4399,91.3405
33.75,76.0962,32.4012,91.5026
33.8,75.9731,32.3624,91.6645
33.85,75.8503,32.3235,91.8263
33.9,75.7279,32.2844,91.9878
33.95,75.6058,32.2451,92.1491
34,75.4841,32.2057,92.3102
34.05,75.3627,32.1661,92.4712
34.1,75.2417,32.1264,92.6319
34.15,75.121,32.0866,92.7924
34.2,75.0006,32.0466,92.9527
34.25,74.8806,32.0065,93.1129
34.3,74.761,31.9662,93.2728
34.35,74.6416,31.9258,93.4325
34.4,74.5227,31.8853,93.5921
34.45,74.404,31.8446,93.7514
34.5,74.2857,31.8038,93.9105
34.55,74.1678,31.7628,94.0694
34.6,74.0502,31.7217,94.2281
34.65,73.9329,31.6805,94.3867
34.7,73.8159,31.6391,94.5449
34.75,73.6993,31.5976,94.703
34.8,73.5831,31.556,94.8609
34.85,73.4671,31.5143,95.0186
34.9,73.3515,31.4724,95.1761
34.95,73.2363,31.4304,95.3333
35,73.1213,31.3883,95.4904
35.05,73.0068,31.346,95.6472
35.1,72.8925,31.3037,95.8038
35.15,72.7786,31.2612,95.9602
35.2,72.665,31.2186,96.1164
35.25,72.5517,31.1758,96.2724
35.3,72.4388,31.133,96.4282
35.35,72.3262,31.09,96.5838
35.4,72.2139,31.047,96.7391
35.45,72.102,31.0038,96.8942
35.5,71.9904,30.9605,97.0491
35.55,71.8791,30.9171,97.2038
35.6,71.7682,30.8735,97.3583
35.65,71.6575,30.8299,97.5126
35.7,71.5472,30.7861,97.6666
35.75,71.4373,30.7423,97.8204
35.8,71.3276,30.6983,97.974
35.85,71.2183,30.6543,98.1274
35.9,71.1093,30.6101,98.2806
35.95,71.0006,30.5658,98.4335
36,70.8923,30.5215,98.5862
36.05,70.7843,30.477,98.7387
36.1,70.6766,30.4324,98.891
36.15,70.5692,30.3878,99.0431
36.2,70.4621,30.343,99.1949
36.25,70.3554,30.2981,99.3465
36.3,70.249,30.2532,99.4979
36.35,70.1429,30.2081,99.649
36.4,70.0371,30.163,99.7999
36.45,69.9316,30.1178,99.9506
36.5,69.8265,30.0724,100.101
36.55,69.7216,30.027,100.251
36.6,69.6171,29.9815,100.401
36.65,69.5129,29.9359,100.551
36.7,69.409,29.8902,100.701
36.75,69.3054,29.8445,100.85
36.8,69.2022,29.7986,100.999
36.85,69.0992,29.7527,101.148
36.9,68.9966,29.7067,101.297
36.95,68.8942,29.6606,101.445
37,68.7922,29.6144,101.593
37.05,68.6905,29.5682,101.741
37.1,68.5891,29.5219,101.889
37.15,68.488,29.4755,102.037
37.2,68.3873,29.429,102.184
37.25,68.2868,29.3824,102.331
37.3,68.1866,29.3358,102.478
37.35,68.0867,29.2891,102.624
37.4,67.9872,29.2423,102.77
37.45,67.8879,29.1955,102.917
37.5,67.789,29.1486,103.062
37.55,67.6903,29.1016,103.208
37.6,67.592,29.0546,103.353
37.65,67.494,29.0074,103.499
37.7,67.3962,28.9603,103.644
37.75,67.2988,28.913,103.788
37.8,67.2016,28.8657,103.933
37.85,67.1048,28.8183,104.077
37.9,67.0082,28.7709,104.221
37.95,66.912,28.7234,104.365
38,66.8161,28.6759,104.508
38.05,66.7204,28.6283,104.651
38.1,66.625,28.5806,104.794
38.15,66.53,28.5329,104.937
38.2,66.4352,28.4851,105.08
